"file_name","has_bad_site_id","has_values_above_2000","has_negatives","site_ids"
"NO2_1998",FALSE,FALSE,TRUE,"010102, 040203, 040206, 040302, 050102, 050103, 050109, 050110, 050113, 050115, 050116, 050126, 050128, 050204, 050307, 050308, 050309, 051802, 052601, 054703, 060101, 060104, 060204, 060413, 060423, 060511, 060512, 060513, 060607, 060707, 060807, 060903, 061004, 061302, 061502, 061602, 062401, 062601, 063001, 063201, 070118, 070119, 070203, 080110, 080211, 090121, 090122, 090701, 091301, 091401, 091501, 091601, 100124, 100126, 100132, 100202, 100304, 100402, 100701, 101202, 101401, 101501, 102701"
"NO2_1999",FALSE,FALSE,TRUE,"010102, 040103, 040203, 040206, 040302, 050102, 050103, 050109, 050110, 050113, 050116, 050121, 050126, 050128, 050130, 050204, 050308, 050309, 051802, 052601, 054703, 055301, 060101, 060104, 060203, 060204, 060423, 060424, 060512, 060513, 060607, 060707, 060807, 061004, 061201, 061302, 061502, 061602, 062601, 062701, 063001, 063301, 070118, 070119, 070203, 080110, 080211, 090121, 090122, 090601, 090701, 090702, 090801, 091301, 091401, 091501, 091601, 091801, 100126, 100127, 100132, 100202, 100304, 100402, 100701, 101003, 101202, 101401, 101501, 102301, 102401, 102701, 104301, 119002"
"NO2_2000",FALSE,FALSE,TRUE,"010102, 030118, 040103, 040203, 040206, 040302, 050102, 050103, 050104, 050109, 050110, 050113, 050115, 050116, 050121, 050126, 050128, 050204, 050308, 050309, 051802, 052601, 054703, 055301, 060101, 060104, 060203, 060211, 060513, 060607, 061004, 061201, 061602, 061701, 062701, 063001, 063201, 063301, 070119, 070203, 080211, 090121, 090122, 090302, 090601, 090701, 090702, 090801, 091201, 091301, 091401, 091501, 091601, 091701, 091801, 091901, 100118, 100125, 100126, 100132, 100202, 100304, 100402, 100701, 101003, 101101, 101202, 101401, 101501, 102301, 102401, 102701, 104301"
"NO2_2001",FALSE,FALSE,TRUE,"010301, 030118, 040103, 040203, 040206, 040302, 050102, 050103, 050104, 050109, 050110, 050113, 050116, 050119, 050121, 050126, 050128, 050204, 050309, 051802, 052601, 054703, 055301, 060101, 060104, 060413, 060421, 060424, 060429, 060512, 060607, 060707, 060807, 060903, 061004, 061104, 061302, 062701, 063001, 063201, 063301, 065101, 070119, 070203, 080110, 090601, 090701, 090702, 090801, 091201, 091301, 091401, 091501, 091601, 091701, 091801, 091901, 100111, 100118, 100121, 100127, 100128, 100134, 100135, 100202, 100304, 100402, 100701, 101101, 101202, 101401, 101501, 102301, 102401, 102801, 104301, 105301, 105601, 119003"
"NO2_2002",FALSE,FALSE,TRUE,"010102, 010301, 010401, 030118, 040103, 040203, 040206, 040208, 040302, 050103, 050109, 050110, 050113, 050116, 050119, 050121, 050126, 050128, 050204, 050309, 051802, 052601, 054703, 055301, 060104, 060204, 060607, 060707, 060807, 060903, 061004, 061104, 061502, 061602, 063001, 070119, 070203, 080110, 080211, 090122, 090222, 090601, 090701, 090702, 090801, 091201, 091301, 091401, 091501, 091601, 091701, 091801, 091901, 100110, 100111, 100121, 100126, 100128, 100134, 100135, 100202, 100304, 100307, 100402, 100701, 101003, 101101, 101202, 101401, 101501, 102301, 102401, 102801, 104003, 104301, 105301, 105601, 119003"
"NO2_2003",FALSE,FALSE,TRUE,"010102, 010301, 010401, 031001, 040103, 040203, 040206, 040302, 050103, 050109, 050110, 050113, 050119, 050121, 050126, 050128, 050204, 050308, 052601, 054703, 055301, 060101, 060104, 060204, 060211, 060415, 060421, 060428, 060430, 060433, 060513, 060607, 060707, 060807, 060903, 061004, 061104, 061502, 061603, 061701, 061802, 062601, 063001, 065001, 065101, 070203, 080110, 080211, 090121, 090302, 090601, 090701, 090702, 090801, 091201, 091301, 091401, 091501, 091601, 091701, 091801, 091901, 100111, 100121, 100126, 100127, 100128, 100132, 100134, 100135, 100202, 100304, 100307, 100402, 100701, 101003, 101004, 101101, 101202, 101301, 101401, 101501, 101701, 102301, 102401, 102801, 104003, 105001, 105301, 119003, 129003"
"NO2_2004",FALSE,FALSE,TRUE,"010102, 010301, 010401, 031001, 040103, 040203, 040206, 040302, 050103, 050109, 050113, 050116, 050121, 050126, 050128, 050204, 050308, 052601, 054703, 055301, 060101, 060104, 060204, 060211, 060410, 060413, 060421, 060428, 060430, 060512, 060607, 060903, 061004, 061402, 061502, 061603, 061701, 062001, 063001, 065001, 065101, 070119, 070203, 080110, 080211, 090121, 090402, 090502, 090601, 090602, 090603, 090605, 090701, 090702, 090801, 090806, 091201, 091301, 091401, 091501, 091601, 091801, 091901, 092001, 092101, 092201, 092301, 100111, 100118, 100126, 100127, 100128, 100134, 100202, 100304, 100307, 100402, 100701, 101003, 101004, 101101, 101202, 101301, 101401, 101501, 101701, 102301, 102401, 102701, 102801, 104003, 105001, 105301, 105604, 119003, 129003"
"NO2_2005",FALSE,FALSE,TRUE,"010102, 010301, 010401, 030118, 031001, 040103, 040203, 040206, 040302, 050102, 050103, 050113, 050119, 050121, 050126, 050128, 050204, 050308, 052601, 054703, 055301, 060104, 060204, 060211, 060410, 060413, 060421, 060430, 060709, 060903, 061004, 061302, 061402, 061502, 061702, 062001, 063001, 065101, 065401, 065601, 065801, 070118, 070119, 070203, 080110, 080211, 080402, 090121, 090302, 090402, 090502, 090601, 090602, 090603, 090605, 090701, 090702, 090703, 090801, 090806, 091301, 091401, 091501, 091601, 091801, 091901, 092001, 092101, 092201, 092301, 092401, 092501, 092601, 092701, 093101, 093301, 093401, 093501, 093601, 093701, 093801, 093901, 094201, 100111, 100121, 100126, 100127, 100128, 100132, 100135, 100202, 100304, 100307, 100315, 100402, 100701, 101003, 101004, 101101, 101301, 101401, 101501, 101601, 101701, 101803, 102301, 102401, 102701, 102801, 103205, 103903, 104003, 105001, 105301, 105604, 119003, 129003"
"NO2_2006",FALSE,FALSE,TRUE,"010102, 010301, 010401, 030120, 030310, 031001, 040103, 040203, 040206, 040302, 050103, 050109, 050113, 050121, 050126, 050128, 050204, 050308, 052601, 054703, 055301, 060104, 060204, 060211, 060410, 060421, 060428, 060433, 060513, 060709, 060809, 060903, 061004, 061104, 061201, 061302, 061402, 061502, 061603, 061702, 062001, 063001, 065001, 065101, 065401, 065601, 065801, 070118, 070119, 070203, 080211, 080402, 090120, 090121, 090302, 090402, 090502, 090601, 090602, 090603, 090605, 090701, 090702, 090703, 090801, 090806, 091301, 091401, 091501, 091601, 091801, 091901, 092101, 092201, 092301, 092601, 092701, 093101, 093801, 093901, 094201, 094601, 100111, 100121, 100125, 100126, 100127, 100128, 100134, 100202, 100402, 100701, 101003, 101004, 101101, 101202, 101301, 101401, 101501, 101701, 101803, 102102, 102401, 102701, 102801, 103205, 103903, 104003, 105301, 105604, 129003, 129102, 129103, 129202"
"NO2_2007",FALSE,FALSE,TRUE,"010301, 010401, 030120, 030310, 031001, 040103, 040203, 040206, 040302, 050103, 050104, 050110, 050113, 050115, 050119, 050121, 050126, 050128, 050204, 050308, 052601, 054401, 054703, 055301, 060104, 060106, 060211, 060303, 060428, 060709, 060809, 060903, 061004, 061104, 061402, 061502, 061603, 061702, 062001, 062501, 062601, 063001, 065101, 065401, 065601, 065801, 070118, 070119, 070203, 080110, 080402, 090120, 090302, 090502, 090601, 090602, 090603, 090605, 090701, 090702, 090703, 090801, 091201, 091301, 091401, 091501, 091601, 091801, 091901, 092001, 092101, 092301, 092601, 092701, 093101, 093801, 093901, 094201, 094301, 094601, 100126, 100127, 100134, 100202, 100314, 100402, 100701, 101003, 101004, 101101, 101202, 101301, 101401, 101501, 101601, 101701, 101803, 102102, 102301, 102401, 102801, 103903, 104003, 105001, 105301, 105604, 129003, 129102, 129103, 129202"
