"year_month","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2018-11-01,"060610","pm25_praries","pm25_naps",1,1,693.6
2018-11-01,"060709","pm25_praries","pm25_naps",1,1,720
2018-11-01,"060809","pm25_praries","pm25_naps",1,1,715.8
2018-11-01,"060904","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"061009","pm25_praries","pm25_naps",1,1,710.8
2018-11-01,"061104","pm25_praries","pm25_naps",1,1,720
2018-11-01,"061201","pm25_praries","pm25_naps",1,1,720
2018-11-01,"061302","pm25_praries","pm25_naps",1,1,715.8
2018-11-01,"061402","pm25_praries","pm25_naps",1,1,714.2
2018-11-01,"061502","pm25_praries","pm25_naps",1,1,690.6
2018-11-01,"061603","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"061703","pm25_praries","pm25_naps",0.999834259738264,0.999834259738264,679.2
2018-11-01,"061802","pm25_praries","pm25_naps",1,1,719
2018-11-01,"062001","pm25_praries","pm25_naps",1,1,712.8
2018-11-01,"062501","pm25_praries","pm25_naps",1,1,715.8
2018-11-01,"063001","pm25_praries","pm25_naps",1,1,720
2018-11-01,"063301","pm25_praries","pm25_naps",1,1,686.8
2018-11-01,"063701","pm25_praries","pm25_naps",1,1,585.4
2018-11-01,"065001","pm25_praries","pm25_naps",1,1,708.8
2018-11-01,"065101","pm25_praries","pm25_naps",1,1,720
2018-11-01,"065201","pm25_praries","pm25_naps",1,1,712.6
2018-11-01,"065301","pm25_praries","pm25_naps",1,1,675.2
2018-11-01,"065401","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"065801","pm25_praries","pm25_naps",1,1,720
2018-11-01,"066201","pm25_praries","pm25_naps",1,1,688.8
2018-11-01,"070118","pm25_praries_lag_1","pm25_naps",1,0.94937832129272,720
2018-11-01,"080211","pm25_praries","pm25_naps",1,1,716.4
2018-11-01,"080402","pm25_praries","pm25_naps",0.998749015514121,0.998749015514121,718.2
2018-11-01,"080502","pm25_praries","pm25_naps",1,1,720
2018-11-01,"081001","pm25_praries","pm25_naps",1,1,702.8
2018-11-01,"082002","pm25_praries","pm25_naps",1,1,711.6
2018-11-01,"090120","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"090121","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"090130","pm25_praries","pm25_naps",1,1,707.8
2018-11-01,"090132","pm25_praries","pm25_naps",0.698095552496132,0.698095552496132,3228.4
2018-11-01,"090135","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"090136","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"090229","pm25_praries","pm25_naps",1,1,8
2018-11-01,"090230","pm25_praries","pm25_naps",1,1,712.2
2018-11-01,"090235","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"090250","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"090302","pm25_praries","pm25_naps",1,1,716.4
2018-11-01,"090304","pm25_praries","pm25_naps",1,1,716.4
2018-11-01,"090402","pm25_praries","pm25_naps",1,1,714.8
2018-11-01,"090502","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"090601","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"090607","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"090608","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"090609","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"090701","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"090702","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"090801","pm25_praries","pm25_naps",1,1,716.4
2018-11-01,"090806","pm25_praries","pm25_naps",1,1,691.8
2018-11-01,"090807","pm25_praries","pm25_naps",1,1,703.4
2018-11-01,"090808","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"091101","pm25_praries","pm25_naps",1,1,6.8
2018-11-01,"091301","pm25_praries","pm25_naps",1,1,709
2018-11-01,"091701","pm25_praries","pm25_naps",1,1,720
2018-11-01,"091801","pm25_praries","pm25_naps",0.989020785855984,0.989020785855984,1271
2018-11-01,"091901","pm25_praries","pm25_naps",1,1,715
2018-11-01,"092201","pm25_praries","pm25_naps",1,1,716.8
2018-11-01,"092801","pm25_praries","pm25_naps",1,1,647.8
2018-11-01,"092901","pm25_praries","pm25_naps",1,1,720
2018-11-01,"093101","pm25_praries","pm25_naps",1,1,720
2018-11-01,"093202","pm25_praries","pm25_naps",1,1,720
2018-11-01,"093901","pm25_praries","pm25_naps",1,1,706.4
2018-11-01,"094301","pm25_praries","pm25_naps",1,1,718.2
2018-11-01,"094401","pm25_praries","pm25_naps",1,1,698.6
2018-11-01,"094601","pm25_praries","pm25_naps",1,1,715.8
2018-12-01,"060104","pm25_praries","pm25_naps",1,1,519.6
2018-12-01,"060204","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060211","pm25_praries","pm25_naps",1,1,525.6
2018-12-01,"060304","pm25_praries","pm25_naps",1,1,525.8
2018-12-01,"060410","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060430","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060434","pm25_praries","pm25_naps",1,1,520.2
2018-12-01,"060440","pm25_praries","pm25_naps",1,1,530.8
2018-12-01,"060450","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060512","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060513","pm25_praries","pm25_naps",0.999963634765157,0.999963634765157,458.2
2018-12-01,"060515","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060610","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060709","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060809","pm25_praries","pm25_naps",1,1,534
2018-12-01,"060904","pm25_praries","pm25_naps",1,1,534
2018-12-01,"061009","pm25_praries","pm25_naps",1,1,534
2018-12-01,"061104","pm25_praries","pm25_naps",1,1,530.8
2018-12-01,"061201","pm25_praries","pm25_naps",1,1,534
2018-12-01,"061302","pm25_praries","pm25_naps",1,1,525
2018-12-01,"061402","pm25_praries","pm25_naps",1,1,534
2018-12-01,"061502","pm25_praries","pm25_naps",1,1,528.8
2018-12-01,"061603","pm25_praries","pm25_naps",1,1,524.4
2018-12-01,"061703","pm25_praries","pm25_naps",0.999957706127554,0.999957706127554,509.6
2018-12-01,"061802","pm25_praries","pm25_naps",1,1,529.8
2018-12-01,"062001","pm25_praries","pm25_naps",1,1,529.8
2018-12-01,"062501","pm25_praries","pm25_naps",1,1,534
2018-12-01,"063001","pm25_praries","pm25_naps",1,1,531.4
2018-12-01,"063301","pm25_praries","pm25_naps",1,1,526.8
2018-12-01,"063701","pm25_praries","pm25_naps",1,1,522
2018-12-01,"065001","pm25_praries","pm25_naps",1,1,534
2018-12-01,"065101","pm25_praries","pm25_naps",1,1,534
2018-12-01,"065201","pm25_praries","pm25_naps",1,1,534
2018-12-01,"065301","pm25_praries","pm25_naps",1,1,534
2018-12-01,"065401","pm25_praries","pm25_naps",1,1,519.6
2018-12-01,"065801","pm25_praries","pm25_naps",1,1,530.8
2018-12-01,"066201","pm25_praries","pm25_naps",1,1,528
2018-12-01,"070118","pm25_praries_lag_1","pm25_naps",1,0.911553082496211,744
2018-12-01,"080211","pm25_praries","pm25_naps",1,1,743
2018-12-01,"080402","pm25_praries","pm25_naps",0.999512524983434,0.999512524983434,744
2018-12-01,"080502","pm25_praries","pm25_naps",0.9383786915596,0.9383786915596,740.8
2018-12-01,"081001","pm25_praries","pm25_naps",1,1,735.2
2018-12-01,"082002","pm25_praries","pm25_naps",1,1,741
2018-12-01,"090120","pm25_praries","pm25_naps",1,1,699.6
2018-12-01,"090121","pm25_praries","pm25_naps",1,1,742.2
2018-12-01,"090130","pm25_praries","pm25_naps",1,1,735.4
2018-12-01,"090132","pm25_praries","pm25_naps",0.822653074290145,0.822653074290145,2013.2
2018-12-01,"090135","pm25_praries","pm25_naps",1,1,715.8
2018-12-01,"090136","pm25_praries","pm25_naps",1,1,742.2
2018-12-01,"090229","pm25_praries","pm25_naps",1,1,731.6
2018-12-01,"090230","pm25_praries","pm25_naps",1,1,740.8
2018-12-01,"090235","pm25_praries","pm25_naps",1,1,739.8
2018-12-01,"090250","pm25_praries","pm25_naps",1,1,742.2
2018-12-01,"090302","pm25_praries","pm25_naps",1,1,742.2
2018-12-01,"090304","pm25_praries","pm25_naps",1,1,740.8
2018-12-01,"090402","pm25_praries","pm25_naps",1,1,744
2018-12-01,"090502","pm25_praries","pm25_naps",1,1,740.8
2018-12-01,"090601","pm25_praries","pm25_naps",1,1,744
2018-12-01,"090607","pm25_praries","pm25_naps",1,1,735
2018-12-01,"090608","pm25_praries","pm25_naps",1,1,744
